categoria,descripcion,enlace,precio,precioOferta,precioPrevio,precio_Kg_L_ud,promocion,seccion
Congelados en Charcutería y Quesos al Corte,"
Jamon cocido extra La Selva al corte 150 g aprox",https://www.carrefour.es/supermercado/jamon-cocido-extra-la-selva-al-corte-150-g-aprox/R-607402705/p,"2,53 €",,,"16,85 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Pechuga de pavo Asada El Pozo Legado al corte sin lactosa 150 g aprox",https://www.carrefour.es/supermercado/pechuga-de-pavo-asada-el-pozo-legado-al-corte-sin-lactosa-150-g-aprox-el-pozo/R-prod271635/p,"2,24 €",,,"14,95 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Jamón cocido extra sin sal  0% grasa El Pozo al corte 150 g aprox",https://www.carrefour.es/supermercado/jamon-cocido-extra-sin-sal-0-grasa-el-pozo-al-corte-150-g-aprox-el-pozo/R-607403477/p,"1,79 €",,,"11,95 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Pechuga de pollo asada El Pozo Legado al corte sin lactosa 150 g aprox",https://www.carrefour.es/supermercado/pechuga-de-pollo-asada-el-pozo-legado-al-corte-sin-lactosa-150-g-aprox-el-pozo/R-prod271344/p,"1,99 €",,,"13,25 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Jamón de pavo al corte 150 g aprox",https://www.carrefour.es/supermercado/jamon-de-pavo-al-corte-150-g-aprox/R-609800536/p,"1,79 €",,,"11,95 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Jamón cocido BNT Duroc Argal al corte 300 g aprox",https://www.carrefour.es/supermercado/jamon-cocido-bnt-duroc-argal-al-corte-300-g-aprox-argal/R-fprod1180406/p,,"
3,28 €","
4,35 €","10,95 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Chopped Pork ElPozo al corte 150 g aprox",https://www.carrefour.es/supermercado/chopped-pork-elpozo-al-corte-150-g-aprox-el-pozo/R-769403171/p,"0,82 €",,,"5,50 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Pechuga de pollo natural Frial al corte 150 g aprox",https://www.carrefour.es/supermercado/pechuga-de-pollo-natural-frial-al-corte-150-g-aprox/R-prod71616/p,"1,90 €",,,"12,65 €/kg",,Cestas y Lotes
Bio en Dulce y Desayuno,"
Manzanilla en bolsitas Carrefour 50 ud.",https://www.carrefour.es/supermercado/manzanilla-en-bolsitas-carrefour-50-ud-carrefour/R-prod690024/p,"0,75 €",,,"11,54 €/kg",,Cuidado de la Ropa
Bio en Dulce y Desayuno,"
Infusión en bolsitas Duerme Bien Pompadour 20 ud.",https://www.carrefour.es/supermercado/infusion-en-bolsitas-duerme-bien-pompadour-20-ud-pompadour/R-654501908/p,"2,10 €",,,"47,73 €/kg",,Cuidado de la Ropa
Bio en Dulce y Desayuno,"
Manzanilla en bolsitas Hornimans 25 ud.",https://www.carrefour.es/supermercado/manzanilla-en-bolsitas-hornimans-25-ud-hornimans/R-521003132/p,,"
1,58 €","
1,74 €","14,36 €/kg",3x2,Cuidado de la Ropa
Bio en Dulce y Desayuno,"
Poleo menta en bolsitas Hornimans 25 ud.",https://www.carrefour.es/supermercado/poleo-menta-en-bolsitas-hornimans-25-ud-hornimans/R-521003146/p,"1,74 €",,,"0,07 €/ud",3x2,Cuidado de la Ropa
